apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 8, 3J, 4.51%, 1.89%
Credit Suisse MACS Classic 20 P, Defensiv, 8, 3J, 6.52%, 3.96%
D&R Konservative Strategi.Eur. P, Defensiv, 8, 3J, -1.95%, 3.33%
D&R Substanz, Defensiv, 8, 3J, -0.9%, 1.31%
FO Vermögensverwalterfonds, Defensiv, 8, 3J, 10.99%, 2.95%
FOS Performance und Sicherheit, Defensiv, 8, 3J, 3.89%, 1.75%
Hamburger Stiftungsfonds T, Defensiv, 8, 3J, 5.5%, 4.73%
Haspa PB Strategie - Rendite, Defensiv, 8, 3J, 3.21%, 4.01%
HVB Verm.depot privat Def. PI, Defensiv, 8, 3J, -2.24%, 3.17%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 8, 3J, 7.1%, 6.1%
Metzler Vermögensverw.fonds 30 A, Defensiv, 8, 3J, 3.87%, 4.09%
Metzler Wertsicherungsfonds 93 A, Defensiv, 8, 3J, 3.51%, 2.7%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 8, 3J, 5.74%, 4.2%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 8, 3J, 2.68%, 1.7%
UBS (D) Konzeptfonds III, Defensiv, 8, 3J, 7.62%, 3.92%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 8, 3J, 4.37%, 3.1%
UniStrategie: Konservativ, Defensiv, 8, 3J, 7.0%, 4.16%
WARBURG-DEFENSIV-FONDS I, Defensiv, 8, 3J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 8, 5J, n/a, n/a
AURETAS strategy defensive (D) C, Defensiv, 8, 5J, 15.41%, 2.93%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 8, 5J, 12.25%, 1.19%
BERENBERG-1590-STIFTUNG, Defensiv, 8, 5J, 10.86%, 2.68%
Bethmann Stiftungsfonds P, Defensiv, 8, 5J, 18.49%, 3.72%
BHF Total Return FT, Defensiv, 8, 5J, 18.29%, 3.51%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 8, 5J, 9.8%, 1.84%
Credit Suisse MACS Classic 20 P, Defensiv, 8, 5J, 14.79%, 3.64%
D&R Konservative Strategi.Eur. P, Defensiv, 8, 5J, 3.62%, 2.81%
D&R Substanz, Defensiv, 8, 5J, -1.31%, 1.09%
FO Vermögensverwalterfonds, Defensiv, 8, 5J, n/a, n/a
FOS Performance und Sicherheit, Defensiv, 8, 5J, 12.2%, 1.86%
Hamburger Stiftungsfonds T, Defensiv, 8, 5J, 12.96%, 4.14%
Haspa PB Strategie - Rendite, Defensiv, 8, 5J, 11.3%, 3.52%
HVB Verm.depot privat Def. PI, Defensiv, 8, 5J, -3.95%, 3.03%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 8, 5J, 15.44%, 6.1%
Metzler Vermögensverw.fonds 30 A, Defensiv, 8, 5J, n/a, n/a
Metzler Wertsicherungsfonds 93 A, Defensiv, 8, 5J, 13.72%, 2.72%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 8, 5J, n/a, n/a
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 8, 5J, 9.24%, 1.66%
UBS (D) Konzeptfonds III, Defensiv, 8, 5J, 21.74%, 4.32%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 8, 5J, n/a, n/a
UniStrategie: Konservativ, Defensiv, 8, 5J, 26.59%, 3.77%
WARBURG-DEFENSIV-FONDS I, Defensiv, 8, 5J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 7, 1J, 2.58%, 2.69%
AURETAS strategy defensive (D) C, Defensiv, 7, 1J, -1.09%, 2.53%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 7, 1J, 1.42%, 0.85%
BERENBERG-1590-STIFTUNG, Defensiv, 7, 1J, 1.86%, 2.34%
Bethmann Stiftungsfonds P, Defensiv, 7, 1J, 1.09%, 2.78%
BHF Total Return FT, Defensiv, 7, 1J, 1.98%, 2.39%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 7, 1J, 1.86%, 2.09%
Credit Suisse MACS Classic 20 P, Defensiv, 7, 1J, 1.25%, 2.71%
D&R Konservative Strategi.Eur. P, Defensiv, 7, 1J, 1.01%, 2.41%
D&R Substanz, Defensiv, 7, 1J, -0.59%, 1.26%
FO Vermögensverwalterfonds, Defensiv, 7, 1J, 4.76%, 1.64%
FOS Performance und Sicherheit, Defensiv, 7, 1J, -0.26%, 1.21%
Hamburger Stiftungsfonds T, Defensiv, 7, 1J, 2.9%, 3.38%
Haspa PB Strategie - Rendite, Defensiv, 7, 1J, 3.23%, 2.69%
HVB Verm.depot privat Def. PI, Defensiv, 7, 1J, -0.27%, 2.62%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 7, 1J, 3.1%, 5.86%
Metzler Vermögensverw.fonds 30 A, Defensiv, 7, 1J, 0.28%, 3.32%
Metzler Wertsicherungsfonds 93 A, Defensiv, 7, 1J, 1.3%, 2.5%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 7, 1J, 1.49%, 2.5%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 7, 1J, -0.59%, 1.43%
UBS (D) Konzeptfonds III, Defensiv, 7, 1J, 1.71%, 2.69%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 7, 1J, 2.17%, 2.4%
UniStrategie: Konservativ, Defensiv, 7, 1J, 1.96%, 2.6%
WARBURG-DEFENSIV-FONDS I, Defensiv, 7, 1J, 8.34%, 2.72%
apo VV Defensiv - Privat, Defensiv, 7, 3J, 7.88%, 3.79%
AURETAS strategy defensive (D) C, Defensiv, 7, 3J, 7.91%, 3.42%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 7, 3J, 4.68%, 1.1%
BERENBERG-1590-STIFTUNG, Defensiv, 7, 3J, 4.2%, 3.04%
Bethmann Stiftungsfonds P, Defensiv, 7, 3J, 8.42%, 4.25%
BHF Total Return FT, Defensiv, 7, 3J, 8.45%, 3.8%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 7, 3J, 5.8%, 1.86%
Credit Suisse MACS Classic 20 P, Defensiv, 7, 3J, 7.21%, 3.95%
D&R Konservative Strategi.Eur. P, Defensiv, 7, 3J, -0.86%, 3.34%
D&R Substanz, Defensiv, 7, 3J, -0.68%, 1.31%
FO Vermögensverwalterfonds, Defensiv, 7, 3J, 12.01%, 2.95%
FOS Performance und Sicherheit, Defensiv, 7, 3J, 4.68%, 1.74%
Hamburger Stiftungsfonds T, Defensiv, 7, 3J, 7.07%, 4.73%
Haspa PB Strategie - Rendite, Defensiv, 7, 3J, 4.72%, 4.02%
HVB Verm.depot privat Def. PI, Defensiv, 7, 3J, -1.84%, 3.13%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 7, 3J, 7.83%, 6.10%
Metzler Vermögensverw.fonds 30 A, Defensiv, 7, 3J, 4.99%, 4.08%
Metzler Wertsicherungsfonds 93 A, Defensiv, 7, 3J, 4.49%, 2.68%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 7, 3J, 6.93%, 4.2%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 7, 3J, 3.18%, 1.71%
UBS (D) Konzeptfonds III, Defensiv, 7, 3J, 8.83%, 3.91%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 7, 3J, 5.54%, 3.11%
UniStrategie: Konservativ, Defensiv, 7, 3J, 9.0%, 4.17%
WARBURG-DEFENSIV-FONDS I, Defensiv, 7, 3J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 7, 5J, n/a, n/a
AURETAS strategy defensive (D) C, Defensiv, 7, 5J, 15.68%, 2.93%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 7, 5J, 12.65%, 1.21%
BERENBERG-1590-STIFTUNG, Defensiv, 7, 5J, 11.36%, 2.69%
Bethmann Stiftungsfonds P, Defensiv, 7, 5J, 19.26%, 3.72%
BHF Total Return FT, Defensiv, 7, 5J, 19.52%, 3.51%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 7, 5J, 11.46%, 1.83%
Credit Suisse MACS Classic 20 P, Defensiv, 7, 5J, 14.92%, 3.67%
D&R Konservative Strategi.Eur. P, Defensiv, 7, 5J, 3.37%, n/a
D&R Substanz, Defensiv, 7, 5J, -0.99%, 1.08%
FO Vermögensverwalterfonds, Defensiv, 7, 5J, n/a, n/a
FOS Performance und Sicherheit, Defensiv, 7, 5J, 12.57%, n/a
Hamburger Stiftungsfonds T, Defensiv, 7, 5J, 14.7%, 4.15%
Haspa PB Strategie - Rendite, Defensiv, 7, 5J, 12.57%, 3.52%
HVB Verm.depot privat Def. PI, Defensiv, 7, 5J, -3.69%, 0,03
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 7, 5J, 15.38%, 6.0%
Metzler Vermögensverw.fonds 30 A, Defensiv, 7, 5J, n/a, n/a
Metzler Wertsicherungsfonds 93 A, Defensiv, 7, 5J, 13.13%, 2.75%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 7, 5J, n/a, n/a
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 7, 5J, 9.84%, 1.66%
UBS (D) Konzeptfonds III, Defensiv, 7, 5J, 22.53%, 4.33%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 7, 5J, n/a, n/a
UniStrategie: Konservativ, Defensiv, 7, 5J, 27.38%, 3.77%
WARBURG-DEFENSIV-FONDS I, Defensiv, 7, 5J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 6, 1J, 4.93%, 3.05%
AURETAS strategy defensive (D) C, Defensiv, 6, 1J, 0.74%, 2.94%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 6, 1J, 2.04%, 0.89%
BERENBERG-1590-STIFTUNG, Defensiv, 6, 1J, 2.77%, 2.39%
Bethmann Stiftungsfonds P, Defensiv, 6, 1J, 2.62%, 3.04%
BHF Total Return FT, Defensiv, 6, 1J, 3.25%, 2.61%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 6, 1J, 2.89%, 2.24%
Credit Suisse MACS Classic 20 P, Defensiv, 6, 1J, 2.5%, 2.74%
D&R Konservative Strategi.Eur. P, Defensiv, 6, 1J, 2.59%, 3.13%
D&R Substanz, Defensiv, 6, 1J, 0.61%, 1.3%
FO Vermögensverwalterfonds, Defensiv, 6, 1J, 6.36%, 2.13%
FOS Performance und Sicherheit, Defensiv, 6, 1J, 0.53%, 1.38%
Hamburger Stiftungsfonds T, Defensiv, 6, 1J, 4.71%, 3.98%
Haspa PB Strategie - Rendite, Defensiv, 6, 1J, 4.86%, 3.03%
HVB Verm.depot privat Def. PI, Defensiv, 6, 1J, 1.1%, 2.74%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 6, 1J, 4.44%, 5.86%
Metzler Vermögensverw.fonds 30 A, Defensiv, 6, 1J, 1.54%, 3.48%
Metzler Wertsicherungsfonds 93 A, Defensiv, 6, 1J, 1.67%, 2.48%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 6, 1J, 2.83%, 2.68%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 6, 1J, -0.4%, 1.43%
UBS (D) Konzeptfonds III, Defensiv, 6, 1J, 3.37%, 2.88%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 6, 1J, 3.02%, 2.6%
UniStrategie: Konservativ, Defensiv, 6, 1J, 3.43%, 2.89%
WARBURG-DEFENSIV-FONDS I, Defensiv, 6, 1J, 11.38%, 5.16%
apo VV Defensiv - Privat, Defensiv, 6, 3J, 8.13%, 3.77%
AURETAS strategy defensive (D) C, Defensiv, 6, 3J, 9.1%, 3.4%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 6, 3J, 4.53%, 1.1%
BERENBERG-1590-STIFTUNG, Defensiv, 6, 3J, 4.29%, 3.01%
Bethmann Stiftungsfonds P, Defensiv, 6, 3J, 8.55%, 4.23%
BHF Total Return FT, Defensiv, 6, 3J, 8.57%, 3.8%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 6, 3J, 6.02%, 1.83%
Credit Suisse MACS Classic 20 P, Defensiv, 6, 3J, 7.19%, 3.93%
D&R Konservative Strategi.Eur. P, Defensiv, 6, 3J, 0.18%, 3.36%
D&R Substanz, Defensiv, 6, 3J, -0.79%, 1.3%
FO Vermögensverwalterfonds, Defensiv, 6, 3J, 11.77%, 2.95%
FOS Performance und Sicherheit, Defensiv, 6, 3J, 5.24%, 1.74%
Hamburger Stiftungsfonds T, Defensiv, 6, 3J, 6.55%, 4.71%
Haspa PB Strategie - Rendite, Defensiv, 6, 3J, 4.26%, 4.02%
HVB Verm.depot privat Def. PI, Defensiv, 6, 3J, -1.6%, 3.1%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 6, 3J, 7.26%, 6.0%
Metzler Vermögensverw.fonds 30 A, Defensiv, 6, 3J, 5.44%, 4.05%
Metzler Wertsicherungsfonds 93 A, Defensiv, 6, 3J, 4.26%, 2.67%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 6, 3J, 6.8%, 4.18%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 6, 3J, 3.3%, 1.74%
UBS (D) Konzeptfonds III, Defensiv, 6, 3J, 9.34%, 3.9%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 6, 3J, 4.81%, 3.11%
UniStrategie: Konservativ, Defensiv, 6, 3J, 8.7%, 4.2%
WARBURG-DEFENSIV-FONDS I, Defensiv, 6, 3J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 6, 5J, n/a, n/a
AURETAS strategy defensive (D) C, Defensiv, 6, 5J, 18.44%, 2.93%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 6, 5J, 14.15%, 1.21%
BERENBERG-1590-STIFTUNG, Defensiv, 6, 5J, 13.31%, 2.68%
Bethmann Stiftungsfonds P, Defensiv, 6, 5J, 22.1%, 3.72%
BHF Total Return FT, Defensiv, 6, 5J, 21.7%, 3.52%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 6, 5J, 12.99%, 1.81%
Credit Suisse MACS Classic 20 P, Defensiv, 6, 5J, 17.75%, 3.67%
D&R Konservative Strategi.Eur. P, Defensiv, 6, 5J, 3.68%, n/a
D&R Substanz, Defensiv, 6, 5J, -0.71%, 1.07%
FO Vermögensverwalterfonds, Defensiv, 6, 5J, n/a, n/a
FOS Performance und Sicherheit, Defensiv, 6, 5J, 15.32%, n/a
Hamburger Stiftungsfonds T, Defensiv, 6, 5J, 17.05%, 4.15%
Haspa PB Strategie - Rendite, Defensiv, 6, 5J, 15.29%, 3.53%
HVB Verm.depot privat Def. PI, Defensiv, 6, 5J, -3.17%, 2.98%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 6, 5J, 18.82%, 6.0%%
Metzler Vermögensverw.fonds 30 A, Defensiv, 6, 5J, n/a, n/a
Metzler Wertsicherungsfonds 93 A, Defensiv, 6, 5J, 13.75%, 2.74%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 6, 5J, n/a, n/a
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 6, 5J, 11.49%, 1.65%
UBS (D) Konzeptfonds III, Defensiv, 6, 5J, 25.84%, 4.34%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 6, 5J, n/a, n/a
UniStrategie: Konservativ, Defensiv, 6, 5J, 30.12%, 3.78%
WARBURG-DEFENSIV-FONDS I, Defensiv, 6, 5J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 5, 1J, 5.27%, 3.13%
AURETAS strategy defensive (D) C, Defensiv, 5, 1J, 3.26%, 3.01%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 5, 1J, 2.35%, 0.88%
BERENBERG-1590-STIFTUNG, Defensiv, 5, 1J, 3.66%, 2.42%
Bethmann Stiftungsfonds P, Defensiv, 5, 1J, 2.67%, 3.11%
BHF Total Return FT, Defensiv, 5, 1J, 3.58%, 2.62%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 5, 1J, 3.36%, 2.18%
Credit Suisse MACS Classic 20 P, Defensiv, 5, 1J, 3.7%, 2.72%
D&R Konservative Strategi.Eur. P, Defensiv, 5, 1J, 1.5%, 3.31%
D&R Substanz, Defensiv, 5, 1J, 1.11%, 1.3%
FO Vermögensverwalterfonds, Defensiv, 5, 1J, 5.75%, 2.25%
FOS Performance und Sicherheit, Defensiv, 5, 1J, 0.45%, 1.38%
Hamburger Stiftungsfonds T, Defensiv, 5, 1J, 4.15%, 4.12%
Haspa PB Strategie - Rendite, Defensiv, 5, 1J, 4.14%, 3.18%
HVB Verm.depot privat Def. PI, Defensiv, 5, 1J, 2.23%, 2.69%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 5, 1J, 5.99%, 5.86%
Metzler Vermögensverw.fonds 30 A, Defensiv, 5, 1J, 2.81%, 3.54%
Metzler Wertsicherungsfonds 93 A, Defensiv, 5, 1J, 3.54%, 2.42%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 5, 1J, 4.27%, 2.7%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 5, 1J, 0.06%, 1.4%
UBS (D) Konzeptfonds III, Defensiv, 5, 1J, 3.45%, 2.96%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 5, 1J, 3.61%, 2.65%
UniStrategie: Konservativ, Defensiv, 5, 1J, 3.95%, 3.01%
WARBURG-DEFENSIV-FONDS I, Defensiv, 5, 1J, 10.94%, 5.56%
apo VV Defensiv - Privat, Defensiv, 5, 3J, 9.39%, 3.76%
AURETAS strategy defensive (D) C, Defensiv, 5, 3J, 10.68%, 3.4%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 5, 3J, 5.14%, 1.09%
BERENBERG-1590-STIFTUNG, Defensiv, 5, 3J, 5.71%, 2.99%
Bethmann Stiftungsfonds P, Defensiv, 5, 3J, 9.63%, 4.21%
BHF Total Return FT, Defensiv, 5, 3J, 9.51%, 3.8%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 5, 3J, 7.21%, 1.78%
Credit Suisse MACS Classic 20 P, Defensiv, 5, 3J, 9.06%, 3.91%
D&R Konservative Strategi.Eur. P, Defensiv, 5, 3J, 1.4%, 3.34%
D&R Substanz, Defensiv, 5, 3J, -0.11%, 1.29%
FO Vermögensverwalterfonds, Defensiv, 5, 3J, 12.35%, 2.95%
FOS Performance und Sicherheit, Defensiv, 5, 3J, 6.28%, 1.73%
Hamburger Stiftungsfonds T, Defensiv, 5, 3J, 7.43%, 4.7%
Haspa PB Strategie - Rendite, Defensiv, 5, 3J, 5.25%, 4.01%
HVB Verm.depot privat Def. PI, Defensiv, 5, 3J, -0.06%, 3.05%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 5, 3J, 9.49%, 5.9%
Metzler Vermögensverw.fonds 30 A, Defensiv, 5, 3J, 6.99%, 4.04%
Metzler Wertsicherungsfonds 93 A, Defensiv, 5, 3J, 5.49%, 2.65%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 5, 3J, 8.25%, 4.17%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 5, 3J, 4.26%, 1.72%
UBS (D) Konzeptfonds III, Defensiv, 5, 3J, 10.54%, 3.9%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 5, 3J, 5.58%, 3.11%
UniStrategie: Konservativ, Defensiv, 5, 3J, 10.59%, 4.19%
WARBURG-DEFENSIV-FONDS I, Defensiv, 5, 3J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 5, 5J, n/a, n/a
AURETAS strategy defensive (D) C, Defensiv, 5, 5J, 20.19%, 2.92%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 5, 5J, 14.42%, 1.21%
BERENBERG-1590-STIFTUNG, Defensiv, 5, 5J, 14.66%, 2.68%
Bethmann Stiftungsfonds P, Defensiv, 5, 5J, 22.84%, 3.71%
BHF Total Return FT, Defensiv, 5, 5J, 23.62%, 3.52%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 5, 5J, 13.35%, 1.79%
Credit Suisse MACS Classic 20 P, Defensiv, 5, 5J, 20.1%, 3.7%
D&R Konservative Strategi.Eur. P, Defensiv, 5, 5J, n/a, n/a
D&R Substanz, Defensiv, 5, 5J, -0.42%, 1.06%
FO Vermögensverwalterfonds, Defensiv, 5, 5J, n/a, n/a
FOS Performance und Sicherheit, Defensiv, 5, 5J, 15.68%, n/a
Hamburger Stiftungsfonds T, Defensiv, 5, 5J, 19.34%, 4.15%
Haspa PB Strategie - Rendite, Defensiv, 5, 5J, 16.53%, 3.53%
HVB Verm.depot privat Def. PI, Defensiv, 5, 5J, -1.89%, 2.95%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 5, 5J, 19.47%, 6.0%
Metzler Vermögensverw.fonds 30 A, Defensiv, 5, 5J, n/a, n/a
Metzler Wertsicherungsfonds 93 A, Defensiv, 5, 5J, 13.06%, 2.74%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 5, 5J, n/a, n/a
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 5, 5J, 11.46%, 1.65%
UBS (D) Konzeptfonds III, Defensiv, 5, 5J, 26.74%, 4.34%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 5, 5J, n/a, n/a
UniStrategie: Konservativ, Defensiv, 5, 5J, 31.05%, 3.78%
WARBURG-DEFENSIV-FONDS I, Defensiv, 5, 5J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 4, 1J, 6.26%, 3.22%
AURETAS strategy defensive (D) C, Defensiv, 4, 1J, 4.2%, 2.99%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 4, 1J, 2.22%, 0.88%
BERENBERG-1590-STIFTUNG, Defensiv, 4, 1J, 3.97%, 2.48%
Bethmann Stiftungsfonds P, Defensiv, 4, 1J, 3.12%, 3.11%
BHF Total Return FT, Defensiv, 4, 1J, 3.84%, 2.64%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 4, 1J, 3.4%, 2.18%
Credit Suisse MACS Classic 20 P, Defensiv, 4, 1J, 4.43%, 2.77%
D&R Konservative Strategi.Eur. P, Defensiv, 4, 1J, 1.57%, 3.38%
D&R Substanz, Defensiv, 4, 1J, 1.24%, 1.28%
FO Vermögensverwalterfonds, Defensiv, 4, 1J, 5.82%, 2.26%
FOS Performance und Sicherheit, Defensiv, 4, 1J, 0.67%, 1.34%
Hamburger Stiftungsfonds T, Defensiv, 4, 1J, 3.51%, 4.23%
Haspa PB Strategie - Rendite, Defensiv, 4, 1J, 4.22%, 3.28%
HVB Verm.depot privat Def. PI, Defensiv, 4, 1J, 3.18%, 2.68%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 4, 1J, 6.07%, 5.88%
Metzler Vermögensverw.fonds 30 A, Defensiv, 4, 1J, 3.44%, 3.58%
Metzler Wertsicherungsfonds 93 A, Defensiv, 4, 1J, 3.53%, 2.45%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 4, 1J, 4.72%, 2.82%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 4, 1J, -0.07%, 1.39%
UBS (D) Konzeptfonds III, Defensiv, 4, 1J, 4.6%, 3.01%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 4, 1J, 3.73%, 2.71%
UniStrategie: Konservativ, Defensiv, 4, 1J, 4.63%, 3.07%
WARBURG-DEFENSIV-FONDS I, Defensiv, 4, 1J, 10.79%, 5.68%
apo VV Defensiv - Privat, Defensiv, 4, 3J, 10.95%, 3.77%
AURETAS strategy defensive (D) C, Defensiv, 4, 3J, 13.04%, 3.39%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 4, 3J, 5.27%, 1.1%
BERENBERG-1590-STIFTUNG, Defensiv, 4, 3J, 5.83%, 2.99%
Bethmann Stiftungsfonds P, Defensiv, 4, 3J, 10.6%, 4.24%
BHF Total Return FT, Defensiv, 4, 3J, 10.08%, 3.81%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 4, 3J, 7.63%, 1.77%
Credit Suisse MACS Classic 20 P, Defensiv, 4, 3J, 10.46%, 3.93%
D&R Konservative Strategi.Eur. P, Defensiv, 4, 3J, 2.17%, 3.35%
D&R Substanz, Defensiv, 4, 3J, 0.2%, 1.28%
FO Vermögensverwalterfonds, Defensiv, 4, 3J, 12.48%, 2.96%
FOS Performance und Sicherheit, Defensiv, 4, 3J, 6.64%, 1.73%
Hamburger Stiftungsfonds T, Defensiv, 4, 3J, 7.88%, 4.72%
Haspa PB Strategie - Rendite, Defensiv, 4, 3J, 5.97%, 4.03%
HVB Verm.depot privat Def. PI, Defensiv, 4, 3J, 0.84%, 3.04%
